date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,actual_snow,average_snow,snow_depth,sea_pressure,wind_speed,max_wind_speed,max_gust_speed,visibility
2015-3-24,2,-3,7,3,11,-11,24,1888,1988,0.00,3.81,5.21,0.00,0.00,0.00,1027,6,21,27,16
2015-3-25,6,1,9,3,12,-10,26,1878,1963,1.27,3.81,10.80,0.00,0.25,0.00,1027,7,21,35,14
2015-3-26,11,6,17,3,12,-6,24,1960,1922,8.13,3.81,3.61,0.00,0.25,0.00,1010,5,23,37,7
2015-3-27,6,4,8,3,12,-6,28,1894,1998,6.86,4.06,4.55,0.00,0.25,0.00,1007,7,19,29,15
2015-3-28,1,-3,4,4,12,-10,28,1923,1945,0.0,3.81,7.57,0.0,0.00,0.00,1011,12,24,37,15
2015-3-29,2,-4,8,4,12,-12,30,1923,1945,0.00,3.81,5.16,0.00,0.25,0.00,1022,10,23,35,16
2015-3-30,7,2,12,4,13,-8,27,1887,1998,0.0,4.06,6.22,0.0,0.25,0.00,1012,13,39,71,14
2015-3-31,5,2,8,4,13,-10,30,1923,1998,4.32,3.81,5.59,0.0,0.00,0.00,1010,9,21,32,14
2015-4-1,6,0,11,4,13,-11,28,1923,1917,0.00,4.06,4.80,0.00,0.25,0.00,1017,8,24,37,16
2015-4-2,12,5,19,4,13,-5,27,1919,1967,0.00,4.06,4.90,0.00,0.00,0.00,1020,10,32,50,16
2015-4-3,17,15,18,5,13,-4,27,1954,1981,1.02,4.06,4.83,0.00,0.00,0.00,1008,11,26,40,13
2015-4-4,11,6,16,5,14,-6,26,1874,1892,0.25,4.06,5.05,0.00,0.25,0.00,1008,16,39,66,14
2015-4-5,11,6,16,5,14,-6,26,1874,1928,0.00,4.06,7.01,0.00,0.00,0.00,1021,8,29,48,16
2015-4-6,12,6,17,6,14,-6,26,1982,1947,0.00,3.81,6.40,0.00,0.00,0.00,1024,7,19,29,16
2015-4-7,11,6,17,6,14,-6,33,1982,2010,3.81,4.06,3.43,0.00,0.25,0.00,1024,11,27,40,13
2015-4-8,5,3,7,6,14,-3,32,1982,1991,0.00,3.81,4.90,0.00,0.00,0.00,1026,18,35,52,15
2015-4-9,4,3,6,6,15,-3,30,1977,1991,0.00,4.06,8.69,0.00,0.00,0.00,1026,14,29,40,14
2015-4-10,9,4,13,6,15,-2,30,1997,1922,4.32,4.32,10.95,0.00,0.25,0.00,1014,7,23,35,7
2015-4-11,11,7,14,6,16,-4,28,1909,1955,0.00,4.06,2.79,0.00,0.00,0.00,1015,14,27,45,16
2015-4-12,13,6,19,7,16,-5,32,1874,1977,0.00,4.06,5.38,0.00,0.00,0.00,1025,5,21,34,16
2015-4-13,15,10,20,7,16,-3,31,1874,1977,0.00,4.06,3.20,0.00,0.00,0.00,1025,7,24,39,16
2015-4-14,16,13,18,7,16,-3,29,1950,1941,0.25,4.06,6.91,0.00,0.25,0.00,1020,6,21,35,16
2015-4-15,17,11,22,7,16,-2,30,1943,1941,0.00,3.81,19.23,0.00,0.00,0.00,1022,10,34,56,16
2015-4-16,14,11,18,7,17,-1,33,1928,2002,0.00,3.56,8.36,0.00,0.00,0.00,1029,10,26,34,16
2015-4-17,17,13,22,7,17,-2,35,1875,2002,2.03,3.81,3.28,0.00,0.00,0.00,1017,8,24,40,15
2015-4-18,21,15,27,8,17,-3,35,1875,1976,0.00,3.56,5.56,0.00,0.00,0.00,1014,7,24,40,16
2015-4-19,13,9,18,8,17,-6,33,1875,1976,0.00,3.81,4.98,0.00,0.25,0.00,1023,14,24,35,16
